phase,param,opt,min,max,model,pm
TO,to_v_lof,96.1,81.1,111.2,norm,96.15|10.46
TO,to_d_tof,2.49,1.31,3.69,norm,2.50|0.72
TO,to_acc_tof,1.63,1.20,2.06,norm,1.63|0.26
IC,ic_va_avg,92,81,103,beta,3.43|3.27|72.17|39.84
IC,ic_vs_avg,10.60,6.48,14.74,norm,10.61|2.51
CL,cl_d_range,263,173,420,beta,2.91|5.02|156.74|333.07
CL,cl_v_cas_const,163,151,174,norm,163.14|7.01
CL,cl_v_mach_const,0.84,0.82,0.87,norm,0.84|0.02
CL,cl_h_cas_const,4.1,2.3,5.9,norm,4.10|1.07
CL,cl_h_mach_const,9.1,8.1,10.2,norm,9.14|0.66
CL,cl_vs_avg_pre_cas,9.46,7.18,11.75,norm,9.47|1.39
CL,cl_vs_avg_cas_const,8.68,6.04,11.81,beta,3.89|4.77|3.94|10.92
CL,cl_vs_avg_mach_const,6.05,3.63,8.47,norm,6.05|1.47
CR,cr_d_range,5695,-3140,14555,norm,5707.50|3434.94
CR,cr_v_cas_mean,139,129,149,norm,139.87|6.06
CR,cr_v_cas_max,148,133,170,beta,2.67|4.04|125.61|63.39
CR,cr_v_mach_mean,0.85,0.83,0.87,norm,0.85|0.01
CR,cr_v_mach_max,0.87,0.85,0.92,gamma,6.01|0.83|0.01
CR,cr_h_init,11.30,9.42,12.44,beta,4.59|2.75|7.61|5.49
CR,cr_h_mean,11.58,10.72,12.44,norm,11.58|0.52
CR,cr_h_max,11.99,11.28,12.70,norm,11.99|0.43
DE,de_d_range,293,224,550,gamma,3.57|207.20|33.45
DE,de_v_mach_const,0.84,0.79,0.87,beta,7.21|3.08|0.71|0.17
DE,de_v_cas_const,154,139,169,norm,154.59|8.89
DE,de_h_mach_const,10.5,8.6,11.6,beta,3.21|2.22|7.41|4.75
DE,de_h_cas_const,7.0,4.3,9.6,norm,6.99|1.61
DE,de_vs_avg_mach_const,-7.16,-12.88,-2.81,beta,2.83|2.31|-16.09|15.29
DE,de_vs_avg_cas_const,-9.14,-13.41,-4.84,norm,-9.13|2.61
DE,de_vs_avg_after_cas,-6.19,-7.91,-4.46,norm,-6.18|1.05
FA,fa_va_avg,77,72,83,norm,77.88|3.71
FA,fa_vs_avg,-4.15,-4.71,-3.15,gamma,11.92|-5.65|0.14
FA,fa_agl,2.89,2.36,3.43,norm,2.89|0.32
LD,ld_v_app,74.0,64.8,83.3,norm,74.07|6.42
LD,ld_d_brk,2.49,0.68,4.31,norm,2.49|1.11
LD,ld_acc_brk,-1.11,-1.74,-0.47,norm,-1.11|0.38
