timestamp,icao24,typecode,callsign,origin,destination,latitude,longitude,altitude,groundspeed,track,vertical_rate
2018-01-02 19:53:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.085861206054695,2.3496657151442313,8200.0,255.0,327.8042660652868,1920.0
2018-01-02 19:54:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.15342712402346,2.3108614408052888,9475.0,290.0,9.72201801381101,960.0
2018-01-02 19:55:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.23336740267481,2.3611209267064153,9975.0,332.0,23.24391944367926,640.0
2018-01-02 19:56:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.319915771484375,2.418471116286056,11225.0,353.0,23.51796167369224,2752.0
2018-01-02 19:57:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.41165161132812,2.478895920973556,14175.0,368.0,23.56691545099568,3584.0
2018-01-02 19:58:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.5051859192929,2.540811074746623,17725.0,351.0,23.348747585296735,3776.0
2018-01-02 19:59:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.59689382779397,2.601607039168076,19850.0,374.0,23.48023884658039,2176.0
2018-01-02 20:00:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.69428110930879,2.6667084565033776,21900.0,390.0,23.410724709134342,1728.0
2018-01-02 20:01:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.794042554952334,2.733739904455236,23850.0,403.0,23.572334589698528,1664.0
2018-01-02 20:02:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.894874702065685,2.8225955447635145,25550.0,426.0,32.1620454014718,1536.0
2018-01-02 20:03:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,49.99496201337395,2.92065594647382,27375.0,434.0,32.18745180416772,1472.0
2018-01-02 20:04:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.098617553710945,3.022830360814145,28650.0,449.0,32.45162406090128,1024.0
2018-01-02 20:05:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.205378128310386,3.1283569335937504,30000.0,457.0,31.221650272108775,1344.0
2018-01-02 20:06:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.317108154296875,3.2137178119860206,31400.0,451.0,24.2335415525842,1408.0
2018-01-02 20:07:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.43063354492189,3.297922234786184,32925.0,451.0,29.744881296942197,448.0
2018-01-02 20:08:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.53308105468749,3.411038047388978,33000.0,459.0,36.84491039077176,0.0
2018-01-02 20:09:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.62788391113282,3.541067023026314,33000.0,461.0,36.96941257749569,0.0
2018-01-02 20:10:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.7370046841896,3.651885986328125,33000.0,457.0,36.895005347792164,0.0
2018-01-02 20:11:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.863677978515625,3.8027541701858123,32975.0,460.0,37.318095383748584,0.0
2018-01-02 20:12:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,50.965436515161535,3.9250183105468754,33000.0,458.0,37.19501206727989,0.0
2018-01-02 20:13:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,51.03854370117188,4.013350203230576,33000.0,444.0,37.489845817396315,-64.0
2018-01-02 20:14:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,51.15907287597657,4.158919050886825,32975.0,433.0,37.399173856045365,0.0
2018-01-02 20:15:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,51.23129634533898,4.247131347656252,33000.0,435.0,37.399173856045365,0.0
2018-01-02 20:16:00+00:00,3946e9,a319,AFR91HL,LBG,BMA,51.3265422239142,4.363632202148439,33000.0,436.0,37.55258314980483,0.0
